fitur,p_value,t-statistic,contribution_percent
F5_std,4.8096044400799155e-06,4.969986317082258,4.5050516784088135
F5_median,7.307830033989551e-06,4.859369079670405,4.4047825148196935
F8_skew,8.757620642757039e-06,4.815153367967771,4.364703115499549
F8_kurtosis,9.513877158532534e-06,4.787587608319142,4.339716090616837
F5_fft_max_mag,1.1118804102171552e-05,4.745333237948097,4.301414552138572
F5_mean,1.1118804102171703e-05,4.745333237948094,4.301414552138568
F5_auc,1.114642377153193e-05,4.744652679858085,4.3007976592197465
F5_max,1.2495032979344187e-05,4.715068764855141,4.273981274337592
F7_gradmax,1.9282244154894208e-05,4.598608605408401,4.16841578515707
F6_std,1.9690861231540208e-05,4.589816359541514,4.16044604047921
F10_skew,2.1317123370637063e-05,4.569697605206712,4.142209364922987
F1_time_to_peak,2.4570583933713395e-05,4.5390681743279915,4.11444527058039
F10_kurtosis,2.4265443986906954e-05,4.532396223473937,4.108397470551242
F1_median,2.4574333684652303e-05,4.532350400783069,4.108355934503206
F1_fft_max_mag,2.8653377361272152e-05,4.4900020626839305,4.069969218834469
F1_mean,2.8653377361272633e-05,4.490002062683927,4.069969218834466
F1_auc,2.8661332601722726e-05,4.4899156248537135,4.069890867131416
F6_median,2.881044919135024e-05,4.485062719825183,4.065491943965611
F1_std,3.361308163167437e-05,4.45430574047312,4.03761223311479
F1_max,3.481822844378742e-05,4.4392170079221165,4.02393502847736
F6_fft_max_mag,3.4790048393025546e-05,4.432914823288139,4.018222403602446
F6_mean,3.479004839302582e-05,4.4329148232881375,4.018222403602445
F6_auc,3.479280684564761e-05,4.432900266998612,4.018209209031601
F1_skew,3.540222697696372e-05,4.428638550964865,4.014346170031927
